Posto_key;POSTOID;key;Provincia_first;Distrito_first;Posto_first;Posto_first.y;water3;N.Surface;P.Surface
Chire;41302;Zambezia Morrumbala Chire;Zambezia;Morrumbala;Chire;Chire;Surface water;3670;31,8
Chiramba;70402;Sofala Chemba Chiramba;Sofala;Chemba;Chiramba;Chiramba;Surface water;392;18
Chiraco;42202;Zambezia Mulevala Chiraco;Zambezia;Mulevala;Chiraco;Chiraco;Surface water;167;4,3
Chiputo;50901;Tete Mar.via Chiputo;Tete;Mar.via;Chiputo;Chiputo;Surface water;372;27,5
Chipera;50904;Tete Mar.via Chipera;Tete;Mar.via;Chipera;Chipera;Surface water;369;25,6
Chipene;30902;Nampula Memba Chipene;Nampula;Memba;Chipene;Chipene;Surface water;666;15,8
Chioco;50402;Tete Changara Chioco;Tete;Changara;Chioco;Chioco;Surface water;1108;15,3
Chinthopo;50802;Tete Magoe Chinthopo;Tete;Magoe;Chinthopo;Chinthopo;Surface water;1243;40,7
Chintholo;50302;Tete Cahora-Bassa Chintholo;Tete;Cahora-Bassa;Chintholo;Chintholo;Surface water;26;5
Chinga;31602;Nampula Murrupula Chinga;Nampula;Murrupula;Chinga;Chinga;Surface water;489;31,9
Chinde-Sede;40301;Zambezia Chinde Chinde-Sede;Zambezia;Chinde;Chinde-Sede;Chinde-Sede;Surface water;451;8,7
Chimbunila;10401;Niassa Chimbunila Chimbunila;Niassa;Chimbunila;Chimbunila;Chimbunila;Surface water;448;9,2
Chimbadzo;41902;Zambezia Luabo Chimbadzo;Zambezia;Luabo;Chimbadzo;Chimbadzo;Surface water;611;23,4
Chilulo;30602;Nampula Malema Chilulo;Nampula;Malema;Chilulo;Chilulo;Surface water;1054;54,9
Chiloane;70903;Sofala Machanga Chiloane;Sofala;Machanga;Chiloane;Chiloane;Surface water;1;0,1
Chigubo-Sede;90501;Gaza Chigubo Chigubo-Sede;Gaza;Chigubo;Chigubo-Sede;Chigubo-Sede;Surface water;285;71,2
Chifunde;50501;Tete Chifunde Chifunde;Tete;Chifunde;Chifunde;Chifunde;Surface water;143;10,9
Chidzolomondo;50702;Tete Macanga Chidzolomondo;Tete;Macanga;Chidzolomondo;Chidzolomondo;Surface water;613;11,2
Chidenguele;90904;Gaza Mandlakazi Chidenguele;Gaza;Mandlakazi;Chidenguele;Chidenguele;Surface water;171;3
Chicumbane;91201;Gaza Limpopo Chicumbane;Gaza;Limpopo;Chicumbane;Chicumbane;Surface water;260;2,7
Chiconono;11302;Niassa Muembe Chiconono;Niassa;Muembe;Chiconono;Chiconono;Surface water;29;2,2
Chicomo;80902;Inhambane Massinga Chicomo;Inhambane;Massinga;Chicomo;Chicomo;Surface water;291;5,3
Chibondzane;90903;Gaza Mandlakazi Chibondzane;Gaza;Mandlakazi;Chibondzane;NA;Surface water;0;0
Chibabava;70601;Sofala Chibabava Chibabava;Sofala;Chibabava;Chibabava;Chibabava;Surface water;747;48,7
Chemba;70401;Sofala Chemba Chemba;Sofala;Chemba;Chemba;Chemba;Surface water;355;12,6
Charre;51102;Tete Mutarara Chare;Tete;Mutarara;Chare;Chare;Surface water;681;16
Changanine;90304;Gaza Chibuto Changanine;Gaza;Chibuto;Changanine;Changanine;Surface water;483;41,5
Changalane;100802;Maputo Provincia Namaacha Changalane;Maputo Provincia;Namaacha;Changalane;Changalane;Surface water;193;12,1
Chalaua;31202;Nampula Moma Chalaua;Nampula;Moma;Chalaua;Chalaua;Surface water;977;8,5
Chalala;90902;Gaza Mandlakazi Chalala;Gaza;Mandlakazi;Chalala;Chalala;Surface water;1;0,1
Chai;20602;Cabo Delgado Macomia Chai;Cabo Delgado;Macomia;Chai;Chai;Surface water;165;8,2
Catuane;100603;Maputo Provincia Matutuine Catuane;Maputo Provincia;Matutuine;Catuane;Catuane;Surface water;209;32,2
Catembe M'Sime;100602;Maputo Provincia Matutuine Catembe M'Sime;Maputo Provincia;Matutuine;Catembe M'Sime;Catembe M'Sime;Surface water;42;5,6
Catandica;60201;Manica Barue Catandica;Manica;Barue;Catandica;Catandica;Surface water;1829;15
Canxixe;71002;Sofala Maringue Canxixe;Sofala;Maringue;Canxixe;Canxixe;Surface water;146;5,7
Canda;70802;Sofala Gorongosa Canda;Sofala;Gorongosa;Canda;Canda;Surface water;1628;39,7
Campo;41202;Zambezia Mopeia Campo;Zambezia;Mopeia;Campo;Campo;Surface water;640;11,2
Calipo;31102;Nampula Mogovolas Calipo;Nampula;Mogovolas;Calipo;Calipo;Surface water;550;9
Calanga;100402;Maputo Provincia Manhi.a Calanga;Maputo Provincia;Manhi.a;Calanga;Calanga;Surface water;51;5,6
Caia-Sede;70301;Sofala Caia Caia-Sede;Sofala;Caia;Caia-Sede;Caia-Sede;Surface water;109;1,3
Cafumpe;60303;Manica Gondola Cafumpe;Manica;Gondola;Cafumpe;Cafumpe;Surface water;653;16,3
Buzua;61002;Manica Tambara Buzua;Manica;Tambara;Buzua;Buzua;Surface water;130;10,5
Buzi;70201;Sofala Buzi Buzi;Sofala;Buzi;Buzi;Buzi;Surface water;1539;14,4
Boila-Nametoria;30204;Nampula Angoche Boila-Nametoria;Nampula;Angoche;Boila-Nametoria;Boila-Nametoria;Surface water;15;0,5
Boane-Sede;100201;Maputo Provincia Boane Boane-Sede;Maputo Provincia;Boane;Boane-Sede;Boane-Sede;Surface water;328;3,1
Bilibiza;21702;Cabo Delgado Quissanga Bilibiza;Cabo Delgado;Quissanga;Bilibiza;Bilibiza;Surface water;675;35,2
Bela Vista;100601;Maputo Provincia Matutuine Bela Vista;Maputo Provincia;Matutuine;Bela Vista;Bela Vista;Surface water;290;18,5
Bazaruto;80602;Inhambane Inhassoro Bazaruto;Inhambane;Inhassoro;Bazaruto;Bazaruto;Surface water;11;3,2
Barragem;31803;Nampula Nacala-A-Velha Barragem;Nampula;Nacala-A-Velha;Barragem;Barragem;Surface water;369;10
Balama-Sede;20301;Cabo Delgado Balama Balama-Sede;Cabo Delgado;Balama;Balama-Sede;Balama-Sede;Surface water;157;1,7
Bajone;42002;Zambezia Mocubela Bajone;Zambezia;Mocubela;Bajone;Bajone;Surface water;383;4,6
Aube;30202;Nampula Angoche Boila Nametoria;Nampula;Angoche;Boila Nametoria;Boila Nametoria;Surface water;316;4,8
Ancuabe-Sede;20201;Cabo Delgado Ancuabe Ancuabe-Sede;Cabo Delgado;Ancuabe;Ancuabe-Sede;Ancuabe-Sede;Surface water;121;2
Anchilo;30107;Nampula Nampula Anchilo;Nampula;Nampula;Anchilo;Anchilo;Surface water;619;10,2
Amatongas;60302;Manica Gondola Amatongas;Manica;Gondola;Amatongas;Amatongas;Surface water;594;13,3
Alua;30302;Nampula Erati Alua;Nampula;Erati;Alua;Alua;Surface water;1774;13,1
