"year";"survey";"prov";"wat4";"sum_pop_weight";"perc"
2015;"AIS 2015";"Manica";"Improved";1451588545;58,1989833120291
2015;"AIS 2015";"Manica";"Surface water";300675651;12,0550807976254
2015;"AIS 2015";"Manica";"Unimproved";741917768;29,7459358903455
2015;"AIS 2015";"Maputo Cidade";"Improved";1631480025;98,7626620670634
2015;"AIS 2015";"Maputo Cidade";"Surface water";3621032;0,219201433220136
2015;"AIS 2015";"Maputo Cidade";"Unimproved";16818799;1,01813649971649
2015;"AIS 2015";"Maputo Provincia";"Improved";1583126867;92,3818009082779
2015;"AIS 2015";"Maputo Provincia";"Surface water";6893692;0,40227457138278
2015;"AIS 2015";"Maputo Provincia";"Unimproved";123657732;7,21592452033927
2015;"AIS 2015";"Nampula";"Improved";3491044607;50,8808353692861
2015;"AIS 2015";"Nampula";"Surface water";1024265758;14,9283390142586
2015;"AIS 2015";"Nampula";"Unimproved";2345906794;34,1908256164553
2015;"AIS 2015";"Niassa";"Improved";570318500;30,6005966769337
2015;"AIS 2015";"Niassa";"Surface water";387635760;20,7987037932605
2015;"AIS 2015";"Niassa";"Unimproved";905795346;48,6006995298058
2015;"AIS 2015";"Sofala";"Improved";2081027210;69,1973510432574
2015;"AIS 2015";"Sofala";"Surface water";250936952;8,34403907542806
2015;"AIS 2015";"Sofala";"Unimproved";675415714;22,4586098813145
2015;"AIS 2015";"Tete";"Improved";790194847;32,9451491276111
2015;"AIS 2015";"Tete";"Surface water";1056425958;44,0449730350993
2015;"AIS 2015";"Tete";"Unimproved";551895723;23,0098778372896
2015;"AIS 2015";"Zambezia";"Improved";1107152192;29,3837880846938
2015;"AIS 2015";"Zambezia";"Surface water";985351913;26,1512121004225
2015;"AIS 2015";"Zambezia";"Unimproved";1675397395;44,4649998148837
2015;"IOF 2014-2015";"Cabo Delgado";"Improved";984687,535690308;52,723073020021
2015;"IOF 2014-2015";"Cabo Delgado";"Surface water";253578,039520264;13,5773156552937
2015;"IOF 2014-2015";"Cabo Delgado";"Unimproved";629394,02671814;33,6996113246853
2015;"IOF 2014-2015";"Gaza";"Improved";1145216,64613342;81,8273636478878
2015;"IOF 2014-2015";"Gaza";"Surface water";52783,7171325684;3,7714719141366
2015;"IOF 2014-2015";"Gaza";"Unimproved";201551,809844971;14,4011644379756
2015;"IOF 2014-2015";"Inhambane";"Improved";1028042,18597412;69,3438643216645
2015;"IOF 2014-2015";"Inhambane";"Surface water";56512,3784179688;3,81189289211604
2015;"IOF 2014-2015";"Inhambane";"Unimproved";397973,40838623;26,8442427862195
2015;"IOF 2014-2015";"Manica";"Improved";1109841,74887085;58,215122535073
2015;"IOF 2014-2015";"Manica";"Surface water";233881,452148438;12,2679088341688
2015;"IOF 2014-2015";"Manica";"Unimproved";562726,017913818;29,5169686307581
2015;"IOF 2014-2015";"Maputo Cidade";"Improved";1227151,46598816;99,7898790944497
2015;"IOF 2014-2015";"Maputo Cidade";"Unimproved";2583,93115234375;0,210120905550263
2015;"IOF 2014-2015";"Maputo Provincia";"Improved";1551878,96777344;93,7380680700494
2015;"IOF 2014-2015";"Maputo Provincia";"Surface water";77281,3662109375;4,66802251777464
2015;"IOF 2014-2015";"Maputo Provincia";"Unimproved";26387,9397583008;1,59390941217594
2015;"IOF 2014-2015";"Nampula";"Improved";2375374,74336243;48,2678470004142
2015;"IOF 2014-2015";"Nampula";"Surface water";1091424,86138916;22,1778598805041
2015;"IOF 2014-2015";"Nampula";"Unimproved";1454436,5617218;29,5542931190816
2015;"IOF 2014-2015";"Niassa";"Improved";830000,305267334;51,6694756682705
2015;"IOF 2014-2015";"Niassa";"Surface water";264609,529388428;16,4725670021582
2015;"IOF 2014-2015";"Niassa";"Unimproved";511755,034606934;31,8579573295713
2015;"IOF 2014-2015";"Sofala";"Improved";1494706,54574585;74,3167345824043
2015;"IOF 2014-2015";"Sofala";"Surface water";186684,931396484;9,28196543770666
2015;"IOF 2014-2015";"Sofala";"Unimproved";329873,622360229;16,4012999798891
2015;"IOF 2014-2015";"Tete";"Improved";1398163,98660278;57,1627910707503
2015;"IOF 2014-2015";"Tete";"Surface water";384372,631759644;15,7147606812398
2015;"IOF 2014-2015";"Tete";"Unimproved";663397,109527588;27,1224482480099
2015;"IOF 2014-2015";"Zambezia";"Improved";1742600,74145508;36,9242234195643
2015;"IOF 2014-2015";"Zambezia";"Surface water";892057,292510986;18,9019331784649
2015;"IOF 2014-2015";"Zambezia";"Unimproved";2084739,09906006;44,1738434019708
